" Figure 1: UK house price inflation slowed since last month while rent inflation remained the same",""
"Private rent and house price annual inflation, UK, January 2016 to June 2026 ",""
"",""
"Notes","1.  Northern Ireland private rent data are currently available up to April 2026. To produce UK rents statistics up to June 2026, Northern Ireland's index for the latest two months has been estimated using the monthly average of Northern Ireland's latest two-month inflation rate.
2.  PIPR estimates for the UK series for May 2026 and June 2026 will be revised in line with PIPR's two-month revision policy. More information is available in [Section 10: Data sources and quality](https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/privaterentandhousepricesuk/july2026#data-sources-and-quality)."
"Unit","%"
"",""
"Date","PIPR","UK HPI"
"Jan 2016","3.3","7.8"
"Feb 2016","3.3","7.7"
"Mar 2016","3.4","8.4"
"Apr 2016","3.3","7.9"
"May 2016","3.2","8"
"Jun 2016","3.3","8.2"
"Jul 2016","3.4","7.5"
"Aug 2016","3.3","6.5"
"Sep 2016","3.2","6.1"
"Oct 2016","3.3","5.6"
"Nov 2016","3.4","5.3"
"Dec 2016","3.4","5.2"
"Jan 2017","3.3","4.8"
"Feb 2017","3.2","4.9"
"Mar 2017","3.0","3.6"
"Apr 2017","3.0","4.9"
"May 2017","2.7","4.3"
"Jun 2017","2.6","4.2"
"Jul 2017","2.5","4.5"
"Aug 2017","2.2","4.9"
"Sep 2017","1.9","4.7"
"Oct 2017","1.8","5.1"
"Nov 2017","1.6","4.3"
"Dec 2017","1.5","4.6"
"Jan 2018","1.2","4.3"
"Feb 2018","1.3","4.4"
"Mar 2018","1.0","4"
"Apr 2018","0.8","3.3"
"May 2018","0.8","3.1"
"Jun 2018","0.7","2.9"
"Jul 2018","0.6","2.9"
"Aug 2018","0.7","2.7"
"Sep 2018","0.9","2.9"
"Oct 2018","1.0","2.7"
"Nov 2018","1.1","2.6"
"Dec 2018","1.2","2"
"Jan 2019","1.4","1.7"
"Feb 2019","1.4","1.2"
"Mar 2019","1.6","1.5"
"Apr 2019","1.6","1.3"
"May 2019","2.1","1"
"Jun 2019","2.0","0.7"
"Jul 2019","1.9","0.6"
"Aug 2019","2.0","0.6"
"Sep 2019","2.2","0.9"
"Oct 2019","2.2","0.7"
"Nov 2019","2.1","0.8"
"Dec 2019","2.1","0.9"
"Jan 2020","2.2","1.6"
"Feb 2020","2.2","1.3"
"Mar 2020","2.2","2.5"
"Apr 2020","2.1","0.7"
"May 2020","1.8","1.1"
"Jun 2020","1.8","2"
"Jul 2020","1.9","1.7"
"Aug 2020","1.7","2.4"
"Sep 2020","1.5","3.4"
"Oct 2020","1.5","4.6"
"Nov 2020","1.3","6"
"Dec 2020","1.2","7"
"Jan 2021","1.1","6.9"
"Feb 2021","1.1","7.8"
"Mar 2021","1.1","8.5"
"Apr 2021","1.1","7.9"
"May 2021","1.0","8.1"
"Jun 2021","1.2","12.3"
"Jul 2021","1.1","6.1"
"Aug 2021","1.3","8.3"
"Sep 2021","1.5","10.3"
"Oct 2021","1.7","6.6"
"Nov 2021","2.0","7.6"
"Dec 2021","2.5","7.3"
"Jan 2022","2.7","8.6"
"Feb 2022","3.0","8.4"
"Mar 2022","3.2","7.2"
"Apr 2022","3.6","10.1"
"May 2022","4.0","10.6"
"Jun 2022","4.1","6.3"
"Jul 2022","4.5","13.6"
"Aug 2022","4.8","11.2"
"Sep 2022","5.1","8.3"
"Oct 2022","5.2","11.1"
"Nov 2022","5.5","8.8"
"Dec 2022","5.6","7.3"
"Jan 2023","5.8","5.2"
"Feb 2023","6.0","4.2"
"Mar 2023","6.2","2.7"
"Apr 2023","6.6","1.7"
"May 2023","7.2","0.9"
"Jun 2023","7.6","0.1"
"Jul 2023","7.9","-0.7"
"Aug 2023","8.1","-1"
"Sep 2023","8.1","-1.7"
"Oct 2023","8.4","-2.1"
"Nov 2023","8.4","-2.6"
"Dec 2023","8.4","-2.7"
"Jan 2024","8.5","-1.9"
"Feb 2024","8.9","-1.6"
"Mar 2024","9.1","-0.3"
"Apr 2024","8.9","0"
"May 2024","8.7","0.5"
"Jun 2024","8.6","0.5"
"Jul 2024","8.5","0.5"
"Aug 2024","8.4","0.9"
"Sep 2024","8.4","1.3"
"Oct 2024","8.6","2"
"Nov 2024","9.0","2.4"
"Dec 2024","9.0","3.1"
"Jan 2025","8.7","3.5"
"Feb 2025","8.1","4"
"Mar 2025","7.7","5.1"
"Apr 2025","7.4","1.4"
"May 2025","7.0","2.1"
"Jun 2025","6.7","2.8"
"Jul 2025","5.9","2.5"
"Aug 2025","5.7","2.2"
"Sep 2025","5.5","2"
"Oct 2025","5.0","2.3"
"Nov 2025","4.4","2.7"
"Dec 2025","3.9","2"
"Jan 2026","3.5","1.4"
"Feb 2026","3.6","1.6"
"Mar 2026","3.4","0.4"
"Apr 2026","3.5","3.9"
"May 2026","3.3","2.7"
"Jun 2026","3.3",""
